6.027762157043722091e+00,4.541512429714202881e-01,2.932844067346287886e+00,4.239120483398437500e-01,5.711626312467787159e+01
4.853066680334678473e+00,8.692556619644165039e-02,2.990161044414834102e+00,9.762286394834518433e-02,6.661022045612335205e+02
3.618057529618651014e+00,2.343571372330188751e-02,3.022541352506189494e+00,1.880338601768016815e-02,1.557856051683425903e+03
4.448184603257526959e+00,1.326963212341070175e-02,3.505807631914962474e+00,1.322472840547561646e-02,4.190775346755981445e+02
5.495340495047631890e+00,7.176615297794342041e-03,4.056777405150236326e+00,7.582263089716434479e-03,6.797473649978637695e+02
5.147928530533497415e+00,6.027938798069953918e-03,4.433977828722214909e+00,6.412709131836891174e-03,3.023804063796997070e+02
1.167913791464603079e+01,2.215318614616990089e-03,1.193252368856653334e+01,2.387926680967211723e-03,8.693047206401824951e+02
1.069232366454456340e+01,1.338206580840051174e-03,1.265672295809626746e+01,1.348289195448160172e-03,1.412247069120407104e+03
1.227690537304081886e+01,7.349296356551349163e-04,1.567024015357840128e+01,6.694212788715958595e-04,8.518806395530700684e+02
1.480356246819058619e+01,2.377151104155927896e-04,1.795650998869186665e+01,3.063473850488662720e-04,5.521401638984680176e+02
2.039174804473580593e+01,5.704467873966274864e-18,2.531353475739108561e+01,6.549816681493417239e-18,1.131330809116363525e+03
